Stressor,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10
Evacuation Plan,shelter,emergency,evacuee,free,offer,flood,help,continue,rescue,order
Concerns For Animals,help,dog,relief,food,donate,cros,bag,support,away,affect
Climate Change Policy ,video,lik,change,climate,show,twitter,en,satellite,stream,approache
Safety Update,update,latest,report,president,disaster,city,head,wake,great,state
Danger,jeffpiotrowski,wind,periscope,gust,day,damag,crazy,got,last,cat
Warnings,power,track,follow,story,top,without,bear,potential,map,update
Response,disaster,gulf,open,border,first,patrol,brace,major,face,natural
Heavy Rain,rain,watch,tx,eye,rockport,water,bring,wind,barrel,wall
Care of Family and Friend,stay,everyone,please,hope,friend,good,path,ready,family,roar
Oil and Gas Price Rise,price,prepare,ga,oil,damage,major,san,governor,rise,cause
Helps,space,station,seen,nasa,international,cupola,victim,help,view,donation
Fake News,path,look,like,monitor,david,camp,closely,fake,reporter,arriv
Flood,flood,hit,coverage,weather,house,week,channel,mis,hope,next
Pray,prayer,pray,affect,path,thought,everyone,people,god,go,know
Intention,im,get,go,hit,com,call,wait,gonna,like,cant
Catastrophic,flood,catastrophic,post,due,flee,thousand,storm,rainfall,intensifie,upgrad
Evacuation news,center,national,say,pm,forecast,dog,number,one,threat,evacuat
Landfall Preparedness,landfall,make,corpu,storm,christi,near,made,hit,could,southeast
Mindsets,people,pardon,dont,arpaio,evacuate,think,racist,good,would,coldplay
Downgrade,storm,wind,strengthen,cat,break,toward,threaten,downgrad,year,high
